country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",26-04-2025 18:00:00,24.792403,84.992416,NO2,1,8,5
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-04-2025 18:00:00,24.762518,84.982348,NO2,15,19,18
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-04-2025 18:00:00,24.762518,84.982348,NH3,3,4,3
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-04-2025 18:00:00,24.762518,84.982348,SO2,8,11,9
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",26-04-2025 18:00:00,24.762518,84.982348,OZONE,3,81,54
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",26-04-2025 18:00:00,25.697189,85.2459,NO2,NA,NA,NA
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",26-04-2025 18:00:00,25.697189,85.2459,NH3,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",26-04-2025 18:00:00,25.560083,87.553265,NH3,1,3,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",26-04-2025 18:00:00,25.560083,87.553265,CO,8,95,43
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26-04-2025 18:00:00,26.0881305,87.93840336,PM2.5,18,83,44
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26-04-2025 18:00:00,26.0881305,87.93840336,PM10,44,199,97
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-04-2025 18:00:00,26.446912,91.439057,SO2,2,5,3
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-04-2025 18:00:00,26.446912,91.439057,CO,14,41,25
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-04-2025 18:00:00,24.82827,92.79525,PM10,38,60,49
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-04-2025 18:00:00,24.82827,92.79525,NO2,5,12,7
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-04-2025 18:00:00,24.82827,92.79525,CO,16,22,19
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-04-2025 18:00:00,24.82827,92.79525,OZONE,1,8,4
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-04-2025 18:00:00,26.987634,94.636574,NH3,3,4,3
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-04-2025 18:00:00,26.987634,94.636574,CO,14,41,18
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-04-2025 18:00:00,26.987634,94.636574,OZONE,3,8,5
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-04-2025 18:00:00,25.5626095,84.663264,SO2,7,10,9
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-04-2025 18:00:00,13.615387,79.40923,PM10,44,105,73
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-04-2025 18:00:00,13.615387,79.40923,NO2,8,26,13
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-04-2025 18:00:00,13.615387,79.40923,SO2,14,23,17
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-04-2025 18:00:00,13.615387,79.40923,OZONE,21,35,29
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",26-04-2025 18:00:00,16.536107,80.594233,NH3,3,6,4
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",26-04-2025 18:00:00,16.486692,80.699436,PM10,45,60,52
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",26-04-2025 18:00:00,16.486692,80.699436,OZONE,17,32,25
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",26-04-2025 18:00:00,16.509717,80.612222,CO,28,35,30
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26-04-2025 18:00:00,26.0881305,87.93840336,OZONE,11,20,16
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",26-04-2025 18:00:00,27.308328,84.531742,SO2,6,7,7
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",26-04-2025 18:00:00,27.308328,84.531742,OZONE,13,77,56
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26-04-2025 18:00:00,26.63086,84.90051,PM10,105,500,176
India,Bihar,Munger,"Town Hall, Munger - BSPCB",26-04-2025 18:00:00,25.376776,86.471523,NH3,1,9,6
India,Bihar,Munger,"Town Hall, Munger - BSPCB",26-04-2025 18:00:00,25.376776,86.471523,SO2,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB",26-04-2025 18:00:00,25.376776,86.471523,CO,16,71,40
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",26-04-2025 18:00:00,16.554731,80.64911,PM2.5,55,88,67
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",26-04-2025 18:00:00,17.72,83.3,SO2,5,12,8
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-04-2025 18:00:00,27.103358,93.679645,PM10,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-04-2025 18:00:00,27.103358,93.679645,SO2,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26-04-2025 18:00:00,26.071318,91.87488,CO,48,64,56
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",26-04-2025 18:00:00,14.675886,77.593027,OZONE,11,37,32
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-04-2025 18:00:00,13.20488,79.097889,PM2.5,50,300,121
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-04-2025 18:00:00,13.20488,79.097889,PM10,45,154,86
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-04-2025 18:00:00,13.20488,79.097889,SO2,12,15,13
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-04-2025 18:00:00,13.20488,79.097889,OZONE,16,35,26
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-04-2025 18:00:00,16.9872867,81.7363176,PM10,24,46,36
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",26-04-2025 18:00:00,25.204762,85.51496,PM10,NA,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",26-04-2025 18:00:00,25.204762,85.51496,CO,6,12,11
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",26-04-2025 18:00:00,25.56752,83.966379,CO,19,29,26
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",26-04-2025 18:00:00,25.7808257,84.7446768,NH3,5,7,6
